"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"IRNSS-1A",39199,53,2.36291534,54.61848355,35865.11,240,57.54,89.72922518,-0.24063744,1629693010,FALSE
"INS-1A",41949,53,-76.11241706,-71.40248144,512.6,188,-58.44,303.64754427,-48.61362945,1629693011,TRUE
"KALAMSAT-V2/PSLV",43948,53,23.73321264,-51.41949036,445.75,308.51,-56.86,322.86267207,4.15563911,1629693012,TRUE
"CHINASAT 2E",49062,54,0.72808574,156.19919454,34052.32,92.99,2.87,203.81247913,-1.88677979,1629693013,FALSE
"COSMOS 2550",48865,55,37.30807424,0.62569695,473.04,304.11,-32.14,344.65899563,16.94996493,1629693014,FALSE
"CHALLENGEONE",47956,55,39.34387524,90.49990142,543.39,23.13,-1.4,244.63728805,60.47519083,1629693016,FALSE
"CALSPHERE 1",900,56,40.85730943,176.46016539,981.33,48.89,-37.81,258.7186833,18.28780113,1629693017,FALSE
"HISPASAT 1D",27528,57,0.51829011,-142.95787097,35793.31,70.62,-50.93,260.95509068,-1.82700418,1629693018,FALSE
"INTEGRAL",27540,57,59.69120388,171.19491862,128032.15,31.24,10.92,215.41010683,59.16186828,1629693019,FALSE
"ASIASAT 4",27718,58,-0.10090817,38.17637347,35784.57,250.49,40.02,71.18697027,-3.02258543,1629693020,FALSE
"INMARSAT 4-F1",28628,59,1.66968247,143.58028974,35773.98,96.14,15.85,190.5268217,-0.83576137,1629693021,FALSE
"CUBESAT XI-V",28895,60,-80.32903094,23.53604029,708.5,188.13,-48.47,307.51746608,-58.29790215,1629693022,FALSE
"PAKSAT 1R",37779,61,-0.0077343,38.03480642,35769.92,250.7,39.92,71.03964139,-2.91937378,1629693023,FALSE
"NIGERIASAT X",37790,62,-63.60495037,50.98807799,729.22,191.99,-38.47,321.4049557,-66.56699143,1629693024,FALSE
"INTELSAT 20",38740,62,-0.01316661,68.47649236,35783.42,210.56,66.59,105.82562133,-2.97614296,1629693025,FALSE
"SOCRATES",39768,62,-21.14124155,-63.86291879,618.87,258.12,-71.32,316.98398002,-20.35426567,1629693026,TRUE
"TESS",43435,62,-10.93447481,13.41281297,261766.41,251.11,18.49,51.24904224,-11.51046749,1629693027,FALSE
"KEPLER-2 (TARS)",46319,63,68.49415763,-111.12636264,540.63,3.53,-44.82,294.75429737,27.63356913,1629693028,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,46.9014975,87.32652536,427.89,12.05,-8.39,279.64082572,61.64367389,1629694802,FALSE
"MARS ORBITER MISSION",39370,50,270,-136.73229882,-6399.59,0,-89.89,304.89883875,-17.33536184,1629694804,FALSE
"RESOURCESAT 2",37387,50,-0.42036251,-98.77819136,825.18,350.71,-80.84,306.41308648,-8.43054775,1629694805,TRUE
"YOUTHSAT",37388,49,-77.13417564,-92.84884907,849.84,182.24,-58.11,306.67601331,-49.33121204,1629694807,FALSE
"SWAYAM",41607,49,40.93750811,68.89426353,485.36,342.58,-3.05,346.50445621,63.20101402,1629694808,FALSE
"CARTOSAT 2AT",29710,49,30.58627179,98.58367649,582.86,50.62,1.08,227.63195773,37.84936036,1629694809,FALSE
"OCEANSAT 2",35931,49,-16.8096659,101.03602904,728.75,145.61,-12.08,210.55973096,-56.19741029,1629694811,FALSE
"IRNSS-1A",39199,49,6.28461602,53.50558093,35862.76,248.6,58.72,95.94935393,4.27635549,1629694812,FALSE
"INS-1A",41949,49,36.1328098,-115.28328133,496.66,13.58,-61.39,298.4256159,10.39581979,1629694813,TRUE
"KALAMSAT-V2/PSLV",43948,48,39.79075911,132.3196448,445.41,52.66,-21.71,250.29801526,25.39460066,1629694815,FALSE
"CHINASAT 2E",49062,47,2.42238421,152.53799641,34865.03,92.46,7.1,207.46904179,-0.1110015,1629694817,FALSE
"COSMOS 2550",48865,47,21.84760345,144.71639522,467.35,74.03,-27.69,246.23793112,5.47997408,1629694819,FALSE
"CHALLENGEONE",47956,48,26.55768685,-87.03186309,546.54,341.89,-65.96,312.31962416,5.51036301,1629694820,TRUE
"CALSPHERE 1",900,47,-63.14484883,168.45634091,997.79,151.87,-49.64,276.0636069,-50.5779948,1629694822,FALSE
"HISPASAT 1D",27528,47,0.24331508,-142.9657481,35795.85,70.98,-51.03,268.48848871,-2.08927065,1629694823,FALSE
"INTEGRAL",27540,47,59.42640852,164.36033442,129486.35,32.04,14.37,216.07094926,59.16666183,1629694824,FALSE
"ASIASAT 4",27718,48,-0.07052972,38.17705724,35783.47,250.53,40.03,78.72912652,-2.97351954,1629694825,FALSE
"INMARSAT 4-F1",28628,47,1.26491897,143.57607429,35774.91,96.56,15.73,198.06579007,-1.26570249,1629694827,FALSE
"CUBESAT XI-V",28895,47,25.57385089,-43.67993247,672.58,305.99,-52.59,334.66932813,5.79610199,1629694828,TRUE
"PAKSAT 1R",37779,47,-0.0121559,38.04047381,35769.95,250.69,39.92,78.59176122,-2.90899348,1629694829,FALSE
"NIGERIASAT X",37790,47,-6.10310329,-119.45566844,705.03,59.08,-78.99,295.39904082,-11.59156986,1629694830,TRUE
"INTELSAT 20",38740,47,-0.00713502,68.47764731,35782.37,210.57,66.59,113.37222357,-2.95431419,1629694831,FALSE
"SOCRATES",39768,47,82.14161245,-169.80613569,626.44,7.56,-34.45,297.28719806,37.59854889,1629694833,FALSE
"TESS",43435,48,-10.84564057,6.21132632,262971.61,253.96,11.93,51.54565285,-11.38800915,1629694834,FALSE
"KEPLER-2 (TARS)",46319,49,-3.68413538,80.22413086,534.42,175.12,1.68,139.97962726,-70.18630632,1629694836,FALSE
